,id,label
0,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_0,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_0
1,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_1,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_1
2,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_2,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_2
3,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_3,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_3
4,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_4,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_4
5,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_5,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_5
6,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_6,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_6
7,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_7,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_7
8,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_8,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_8
9,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_9,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_9
10,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_10,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_10
11,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_11,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_11
12,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_12,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_12
13,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_13,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_13
14,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_14,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_14
15,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_15,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_15
16,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_16,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_16
17,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_17,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_17
18,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_18,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_18
19,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_19,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_19
20,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_20,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_20
21,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_21,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_21
22,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_22,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_22
23,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_23,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_23
24,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_24,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_24
25,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_25,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_25
26,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_26,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_26
27,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_27,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_27
28,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_28,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_28
29,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_29,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_29
30,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_30,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_30
31,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_31,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_31
32,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_32,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_32
33,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_33,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_33
34,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_34,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_34
35,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_35,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_35
36,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_36,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_36
37,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_37,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_37
38,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_38,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_38
39,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_39,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_39
40,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_40,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_40
41,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_41,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_41
42,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_42,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_42
43,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_43,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_43
44,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\image(t-10)/image_44,C:\Users\marot\Documents\MATLAB\script\DEM\64pix_(0-3deg)_dem(noisy)\label/label_44
